author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
VESPER,developer,Москва,sale,flat,1,6,2,173.3,467910000.0,2027,Кирпичный,"Чистовая, чистовая с мебелью",-1,-1,Пресненский,Патриаршие Пруды мкр,,Пушкинская,Клубный дом Левенсон,2700000.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,2,5,3,146.8,400000000.0,2021,-1,-1,-1,15 м²,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc,2724795.6403269754
Мария Науменко,realtor,Москва,sale,flat,9,9,2,44.0,17500000.0,1965,-1,-1,35 м²,6 м²,Левобережный,Фестивальная ,11,Речной вокзал,,397727.2727272727
VESPER,developer,Москва,sale,flat,5,9,2,104.2,174388599.0,2023,Монолитный,Чистовая с мебелью,-1,28 м²,Тверской,1-я Тверская-Ямская ,2А,Маяковская,Vesper Tverskaya,1673595.0
NF GROUP,real_estate_agent,Москва,sale,flat,2,8,-1,235.8,495000000.0,2014,-1,-1,-1,20 м²,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор,2099236.641221374
ID 108172779,real_estate_agent,Москва,sale,flat,8,8,3,213.4,234740000.0,2022,-1,-1,"79,4 м²","65,2 м²",Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN,1100000.0
VESPER,developer,Москва,sale,flat,2,21,3,157.8,204207718.0,2023,Монолитный,"Предчистовая, чистовая, чистовая с мебелью",-1,"46,2 м²",Пресненский, Костикова,4к1,Улица 1905 года,Lucky,1294092.0025348542
hoomie,real_estate_agent,Москва,sale,flat,8,20,3,90.8,35946863.0,2024,-1,-1,"38,5 м²","18,2 м²",Даниловский,Автозаводская ,26,Тульская,FORST,395890.56167400884
Tekta Group,developer,Москва,sale,flat,19,34,2,45.1,21571259.0,2025,Монолитный,"Без отделки, предчистовая","26,2 м²",-1,Обручевский,,,Воронцовская,Эвер ЖК,478298.42572062084
Аврора Проперти,real_estate_agent,Москва,sale,flat,7,8,4,211.6,188645999.0,2005,-1,-1,-1,30 м²,Якиманка,2-й Казачий переулок,4С1,Полянка,Римский дом,891521.7344045369
Елена Субботина,realtor,Москва,sale,flat,2,9,1,21.1,8280000.0,1957,-1,-1,18 м²,"2,9 м²",Сокол,Волоколамское шоссе,13,Стрешнево,,392417.0616113744
Tekta Group,developer,Москва,sale,flat,6,27,2,40.5,25772592.0,2026,Монолитный,"Без отделки, предчистовая","25,5 м²",-1,Даниловский,,1,Крестьянская застава,Эра ЖК,636360.2962962963
Аврора Проперти,real_estate_agent,Москва,sale,flat,3,7,4,137.2,260000000.0,2007,-1,-1,-1,"11,7 м²",Пресненский,Хлыновский тупик,4,Арбатская,,1895043.7317784259
BARNES International Realty,real_estate_agent,Москва,sale,flat,15,16,2,62.6,23500000.0,1978,-1,-1,-1,9 м²,Красносельский,Большая Спасская ,10К1,Площадь трёх вокзалов,,375399.36102236423
Sminex,developer,Москва,sale,flat,4,13,2,86.1,233470000.0,2027,Монолитно-кирпичный,Без отделки,"33,6 м²",26 м²,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк ,2711614.4018583046
Аврора Проперти,real_estate_agent,Москва,sale,flat,3,6,4,167.0,285000000.0,2020,-1,-1,-1,"17,2 м²",Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace,1706586.8263473054
NF GROUP,real_estate_agent,Москва,sale,flat,9,38,3,70.0,30500000.0,2010,-1,-1,-1,10 м²,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой,435714.28571428574
Среда,developer,Москва,sale,flat,4,13,2,51.1,19985414.0,2027,Монолитный,Предчистовая,"32,4 м²",5 м²,Очаково-Матвеевское,Очаково мкр,к5.1,Аминьевская,Среда на Лобачевского ЖК,391103.99217221135
Аврора Проперти,real_estate_agent,Москва,sale,flat,5,5,-1,261.4,370000000.0,2021,-1,-1,-1,20 м²,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,1415455.2410099467
NF GROUP,real_estate_agent,Москва,sale,flat,4,12,-1,298.93,730000000.0,2013,-1,-1,-1,20 м²,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой,2442043.2877262235
Capital Group,developer,Москва,sale,flat,11,18,2,45.8,62598031.0,2027,Монолитный,-,-1,-1,Дорогомилово,,,Москва-Сити,Бадаевский ЖК,1366769.2358078603
hoomie,real_estate_agent,Москва,sale,flat,17,20,1,39.74,18509541.0,2024,-1,-1,"11,4 м²","20,2 м²",Даниловский,Автозаводская ,26/1,Тульская,FORST,465766.00402617006
NF GROUP,real_estate_agent,Москва,sale,flat,2,6,3,131.1,110000000.0,1910,-1,-1,-1,15 м²,Тверской, Малая Дмитровка,23/15С2,Пушкинская,,839054.1571319604
Capital Group,developer,Москва,sale,flat,59,85,2,80.6,61348335.0,2015,Монолитный,-,"49,6 м²",-1,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО,761145.5955334988
hoomie,real_estate_agent,Москва,sale,flat,12,20,2,61.58,27386365.0,2024,-1,-1,"26,2 м²","20,8 м²",Даниловский,Автозаводская ,26/1,Тульская,FORST,444728.2396882105
Kalinka Group,real_estate_agent,Москва,sale,flat,24,41,2,72.0,68500000.0,-1,-1,-1,-1,8 м²,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,951388.8888888889
Capital Group,developer,Москва,sale,flat,12,18,3,104.1,136483404.0,2027,Монолитный,-,-1,-1,Дорогомилово,,,Москва-Сити,Бадаевский ЖК,1311079.7694524496
Аврора Проперти,real_estate_agent,Москва,sale,flat,30,45,3,80.4,33000000.0,2024,-1,-1,-1,10 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,410447.7611940298
СТ Тауэрс,developer,Москва,sale,flat,2,78,2,54.9,51331500.0,2019,Монолитный,"Без отделки, чистовая","39,9 м²",10 м²,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,935000.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,2,45,3,86.4,39000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,451388.8888888889
Sminex,developer,Москва,sale,flat,3,6,2,120.3,272480000.0,2026,Монолитный,Без отделки,"35,8 м²",37 м²,Басманный,Потаповский переулок,5С4,Чистые пруды,Исторический дом ,2265004.156275977
Аврора Проперти,real_estate_agent,Москва,sale,flat,4,45,4,107.2,39000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,363805.9701492537
Аврора Проперти,real_estate_agent,Москва,sale,flat,4,45,4,112.1,39000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,347903.6574487065
Галс-Девелопмент,developer,Москва,sale,flat,2,6,2,73.46,183750000.0,2025,Монолитно-кирпичный,Без отделки,"41,2 м²",-1,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22,2501361.28505309
Аврора Проперти,real_estate_agent,Москва,sale,flat,2,45,4,109.9,40000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,363967.24294813466
MR Group,developer,Москва,sale,flat,3,36,2,61.7,52821370.0,2027,Монолитный,Без отделки,-1,-1,Беговой,Северный ао,,Белорусская,Слава ЖК,856100.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,12,45,4,104.3,40000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,383509.1083413231
Аврора Проперти,real_estate_agent,Москва,sale,flat,33,45,3,100.3,41000000.0,2024,-1,-1,-1,12 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,408773.67896311067
Аврора Проперти,real_estate_agent,Москва,sale,flat,13,14,3,76.6,46000000.0,1985,-1,-1,-1,10 м²,Якиманка,Калужская площадь,1К1,Октябрьская,,600522.1932114883
Sminex,developer,Москва,sale,flat,2,5,2,88.7,207730000.0,2025,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","34,2 м²","30,5 м²",Тверской,,,Площадь Революции,Ильинка 3/8 ЖК,2341939.1206313414
Аврора Проперти,real_estate_agent,Москва,sale,flat,20,45,4,120.3,48000000.0,2024,-1,-1,-1,15 м²,Пресненский,Шмитовский проезд,39к3,Шелепиха,Headliner,399002.49376558606
Upside Development,developer,Москва,sale,flat,11,12,2,77.0,47740000.0,2020,Монолитно-кирпичный,-,-1,-1,Даниловский,2-я Рощинская ,1,Тульская,Данилов дом,620000.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,3,5,2,44.27,49400000.0,2021,-1,-1,-1,8 м²,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,1115879.82832618
